"","Text","Retweets","Favorited"
"56","I have so many jokes for that skittles commercial","0","FALSE"
"57","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Niggas Was Strong Af Inda Commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+00B9><ed><U+00A0><U+00BD><ed><U+00B8><U+00B9><ed><U+00A0><U+00BD><ed><U+00B8><U+00B9>","0","FALSE"
"58","RT @portlandia: Ableism is real. There is a fierce woman in this commercial! Here at @IOWbooks we are pro-body pro-feminist. #FeministBooks…","49","FALSE"
"59","what the fuck was that skittles commercial","0","FALSE"
"60","That skittles commercial was doo doo","0","FALSE"
"61","That commercial was trash","0","FALSE"
"62","That skittles commercial haha","0","FALSE"
"63","What even was that Skittles commercial","0","FALSE"
"64","RT @WLTX: Did you like that Snickers commercial you just saw? Here it is again: http://t.co/L6lalSpKhh #SB49 http://t.co/MAFOrOsu2g","33","FALSE"
"65","WHAT IF THERES A COMMERCIAL PROMOTING OTRA I  SHIT MY PANTS","0","FALSE"
"66","it was a cruise ship company commercial","0","FALSE"
"67","Skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"68","I'm offended carnival used #JFK voice for that commercial. #SuperBowIAds","0","FALSE"
"69","How does Game of War have the funding for a super bowl commercial? They must be part of a bigger company","0","FALSE"
"70","That skittles commercial tho&gt;&gt;&gt;","0","FALSE"
"71","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"72","that skittle commercial has me weak af rn","1","FALSE"
"73","Lmaoooo that skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"74","@CarnivalPLC Home run on your commercial!!!","0","FALSE"
"75","RT @Faux_Gruden: A Brady Bunch commercial following a Tom Brady interception. Wow. If there's a Willson commercial after this drive then my…","1135","FALSE"
"76","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"77","Iv'e never heard someone be indirect in one commercial","0","FALSE"
"78","So I totally took that Skittles commercial the wrong way... omg","0","FALSE"
"79","That commercial actually made me laugh lmao.","1","FALSE"
"80","That @CarnivalCruise commercial spoke to me. #SuperBowlXLIX","0","FALSE"
"81","That skittles commercial looked like it was gonna be dirty.. But it was arm wrestling <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"82","RT @fireballil: Say what you will about Bryant and Katie, took a lot of guts to relive that 'what is internet?' moment for that BMW commerc…","4","FALSE"
"83","That skittle commercial had a lot of people who jerk off to much","0","FALSE"
"84","That skittle commercial tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","1","FALSE"
"85","Skittle's commercial was really weird...","0","FALSE"
"86","The muscle commercial was dumb","0","FALSE"
"87","That commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"88","Took that skittles commercial in a wrong way","0","FALSE"
"89","Everybody in that commercial beat they meat","12","FALSE"
"90","skittles commercial ft. only jake","0","FALSE"
"91","The hell was that skittles commercial?? <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>","0","FALSE"
"92","Lmao at that skittles commercial","0","FALSE"
"93","Insert ferocious masterbating town joke into that last commercial","1","FALSE"
"94","That skittles commercial was stupid","0","FALSE"
"95","that skittles commercial &gt;&gt; <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"96","Best commercial ever #skittles","0","FALSE"
"97","Eww. That skittles commercial was weird","0","FALSE"
"98","I wonder how many creationists got pissed off by that cruise commercial #SuperBowI","0","FALSE"
